"id","answer","respondent_id","date","status"
"1","2","60","2023-02-28","1"
"2","1","61","2023-02-28","1"
"3","1","63","2023-02-28","1"
"4","1","64","2023-03-01","1"
"57","3","65","2023-03-25","0"
"60","3","69","2023-09-11","0"
"61","4","70","2023-09-11","0"
"62","3","71","2023-09-12","0"
"63","0","72","2023-09-12","0"
"64","2","73","2023-09-12","0"
"65","3","74","2023-09-12","0"
"66","3","75","2023-09-13","0"
"67","3","76","2023-09-13","0"
"68","2","77","2023-09-13","0"
"69","2","79","2023-09-13","0"
"70","2","81","2023-09-15","0"
"71","3","83","2023-10-02","0"
"72","3","84","2023-10-03","0"
"73","3","85","2023-10-03","0"
"74","3","86","2023-10-03","0"
"75","3","87","2023-10-03","0"
"76","3","88","2023-10-03","0"
"77","3","89","2023-10-03","0"
"78","3","90","2023-10-05","0"
"79","4","91","2023-10-05","0"
"80","3","92","2023-10-06","0"
"81","3","93","2023-10-06","0"
"82","3","94","2023-10-06","0"
"83","4","97","2023-10-16","0"
"84","3","98","2023-10-16","0"
"85","3","99","2023-10-16","0"
"86","3","101","2023-10-16","0"
"87","3","102","2023-10-16","0"
"88","3","100","2023-10-16","0"
"89","4","103","2023-10-24","0"
"90","4","104","2023-10-24","0"
"91","4","105","2023-10-24","0"
"92","3","106","2023-10-24","0"
"93","3","107","2023-10-24","0"
"94","4","108","2023-10-24","0"
"95","4","108","2023-10-24","0"
"96","3","109","2023-10-24","0"
"97","4","110","2023-10-24","0"
"98","3","111","2023-10-24","0"
"99","3","112","2023-10-24","0"
"100","4","113","2023-10-24","0"
"101","3","114","2023-10-24","0"
"102","3","115","2023-10-25","0"
"103","3","116","2023-10-25","0"
"104","3","117","2023-10-25","0"
"105","4","118","2023-10-25","0"
"106","3","119","2023-10-25","0"
"107","3","120","2023-10-25","0"
"108","3","121","2023-11-21","0"
"109","2","122","2023-12-04","0"
"110","3","123","2023-12-04","0"
"111","4","124","2023-12-04","0"
"112","3","125","2023-12-04","0"
"113","3","126","2023-12-04","0"
"114","3","127","2023-12-04","0"
"115","3","128","2023-12-04","0"
"116","3","129","2023-12-04","0"
"117","3","130","2023-12-04","0"
"118","3","131","2023-12-04","0"
"119","4","132","2023-12-04","0"
"120","3","133","2023-12-04","0"
"121","3","135","2023-12-04","0"
"122","3","134","2023-12-04","0"
"123","3","136","2023-12-04","0"
"124","3","137","2023-12-04","0"
"125","3","138","2023-12-04","0"
"126","3","139","2023-12-04","0"
"127","3","140","2023-12-04","0"
"128","3","141","2023-12-04","0"
"129","4","142","2023-12-04","0"
"130","3","143","2023-12-04","0"
"131","3","144","2023-12-04","0"
"132","3","145","2023-12-04","0"
"133","4","146","2023-12-04","0"
"134","3","147","2023-12-04","0"
"135","3","148","2023-12-04","0"
"136","4","149","2023-12-04","0"
"137","4","150","2023-12-04","0"
"138","3","151","2023-12-04","0"
"139","3","152","2023-12-04","0"
"140","3","153","2023-12-04","0"
"141","3","154","2023-12-04","0"
"142","3","155","2023-12-04","0"
"143","3","156","2023-12-04","0"
"144","3","157","2023-12-04","0"
"145","3","158","2023-12-04","0"
"146","3","159","2023-12-04","0"
"147","3","160","2023-12-04","0"
"148","3","161","2023-12-04","0"
"149","3","162","2023-12-04","0"
"150","3","163","2023-12-04","0"
"151","3","165","2023-12-04","0"
"152","4","164","2023-12-04","0"
"153","3","166","2023-12-04","0"
"154","4","168","2023-12-04","0"
"155","2","167","2023-12-04","0"
"156","3","169","2023-12-04","0"
"157","4","170","2023-12-04","0"
"158","3","171","2023-12-04","0"
"159","3","172","2023-12-04","0"
"160","3","173","2023-12-04","0"
"161","4","174","2023-12-04","0"
"162","3","176","2023-12-04","0"
"163","4","175","2023-12-04","0"
"164","3","177","2023-12-04","0"
"165","3","178","2023-12-04","0"
"166","4","179","2023-12-04","0"
"167","3","180","2023-12-04","0"
"168","4","181","2023-12-04","0"
"169","4","182","2023-12-04","0"
"170","3","183","2023-12-04","0"
"171","4","184","2023-12-04","0"
"172","3","185","2023-12-04","0"
"173","2","186","2023-12-04","0"
"174","3","187","2023-12-04","0"
"175","3","188","2023-12-04","0"
"176","4","189","2023-12-04","0"
"177","3","190","2023-12-04","0"
"178","3","192","2023-12-04","0"
"179","3","191","2023-12-04","0"
"180","4","193","2023-12-04","0"
"181","4","194","2023-12-04","0"
"182","3","195","2023-12-04","0"
"183","4","196","2023-12-04","0"
"184","3","197","2023-12-04","0"
"185","3","198","2023-12-04","0"
"186","4","199","2023-12-04","0"
"187","3","200","2023-12-04","0"
"188","3","201","2023-12-04","0"
"189","3","202","2023-12-04","0"
"190","3","203","2023-12-04","0"
"191","3","204","2023-12-04","0"
"192","3","205","2023-12-04","0"
"193","0","206","2023-12-04","0"
"194","3","207","2023-12-04","0"
"195","3","208","2023-12-04","0"
"196","4","209","2023-12-04","0"
"197","4","210","2023-12-04","0"
"198","3","211","2023-12-04","0"
"199","2","212","2023-12-04","0"
"200","4","213","2023-12-04","0"
