"id_2","answer_2","date_2","status_2"
"1","4","2023-02-28","1"
"2","1","2023-02-28","1"
"3","2","2023-02-28","1"
"4","2","2023-03-01","1"
"60","3","2023-03-25","0"
"61","4","2023-09-13","0"
"62","2","2023-09-13","0"
"63","3","2023-09-15","0"
"64","3","2023-10-02","0"
"65","3","2023-10-03","0"
"66","3","2023-10-03","0"
"67","4","2023-10-03","0"
"68","3","2023-10-03","0"
"69","4","2023-10-03","0"
"70","3","2023-10-03","0"
"71","4","2023-10-05","0"
"72","3","2023-10-05","0"
"73","3","2023-10-06","0"
"74","3","2023-10-06","0"
"75","3","2023-10-06","0"
"76","4","2023-10-16","0"
"77","4","2023-10-16","0"
"78","4","2023-10-16","0"
"79","4","2023-10-16","0"
"80","4","2023-10-24","0"
"81","4","2023-10-24","0"
"82","4","2023-10-24","0"
"83","3","2023-10-24","0"
"84","4","2023-10-24","0"
"85","3","2023-10-24","0"
"86","3","2023-10-24","0"
"87","3","2023-10-24","0"
"88","4","2023-10-24","0"
"89","3","2023-10-24","0"
"90","3","2023-10-25","0"
"91","3","2023-10-25","0"
"92","3","2023-10-25","0"
"93","4","2023-10-25","0"
"94","3","2023-10-25","0"
"95","3","2023-10-25","0"
"96","3","2023-11-21","0"
"97","3","2023-12-04","0"
"98","3","2023-12-04","0"
"99","4","2023-12-04","0"
"100","3","2023-12-04","0"
"101","2","2023-12-04","0"
"102","3","2023-12-04","0"
"103","2","2023-12-04","0"
"104","3","2023-12-04","0"
"105","3","2023-12-04","0"
"106","3","2023-12-04","0"
"107","3","2023-12-04","0"
"108","4","2023-12-04","0"
"109","4","2023-12-04","0"
"110","3","2023-12-04","0"
"111","3","2023-12-04","0"
"112","3","2023-12-04","0"
"113","3","2023-12-04","0"
"114","3","2023-12-04","0"
"115","3","2023-12-04","0"
"116","2","2023-12-04","0"
"117","3","2023-12-04","0"
"118","4","2023-12-04","0"
"119","3","2023-12-04","0"
"120","3","2023-12-04","0"
"121","3","2023-12-04","0"
"122","4","2023-12-04","0"
"123","3","2023-12-04","0"
"124","4","2023-12-04","0"
"125","4","2023-12-04","0"
"126","4","2023-12-04","0"
"127","3","2023-12-04","0"
"128","3","2023-12-04","0"
"129","3","2023-12-04","0"
"130","3","2023-12-04","0"
"131","3","2023-12-04","0"
"132","3","2023-12-04","0"
"133","3","2023-12-04","0"
"134","3","2023-12-04","0"
"135","3","2023-12-04","0"
"136","3","2023-12-04","0"
"137","4","2023-12-04","0"
"138","3","2023-12-04","0"
"139","3","2023-12-04","0"
"140","3","2023-12-04","0"
"141","4","2023-12-04","0"
"142","3","2023-12-04","0"
"143","3","2023-12-04","0"
"144","3","2023-12-04","0"
"145","2","2023-12-04","0"
"146","4","2023-12-04","0"
"147","3","2023-12-04","0"
"148","3","2023-12-04","0"
"149","4","2023-12-04","0"
"150","4","2023-12-04","0"
"151","3","2023-12-04","0"
"152","4","2023-12-04","0"
"153","3","2023-12-04","0"
"154","3","2023-12-04","0"
"155","4","2023-12-04","0"
"156","3","2023-12-04","0"
"157","4","2023-12-04","0"
"158","4","2023-12-04","0"
"159","3","2023-12-04","0"
"160","4","2023-12-04","0"
"161","3","2023-12-04","0"
"162","2","2023-12-04","0"
"163","2","2023-12-04","0"
"164","3","2023-12-04","0"
"165","4","2023-12-04","0"
"166","3","2023-12-04","0"
"167","3","2023-12-04","0"
"168","3","2023-12-04","0"
"169","3","2023-12-04","0"
"170","3","2023-12-04","0"
"171","4","2023-12-04","0"
"172","4","2023-12-04","0"
"173","3","2023-12-04","0"
"174","4","2023-12-04","0"
"175","3","2023-12-04","0"
"176","2","2023-12-04","0"
"177","2","2023-12-04","0"
"178","3","2023-12-04","0"
"179","2","2023-12-04","0"
"180","3","2023-12-04","0"
"181","3","2023-12-04","0"
"182","3","2023-12-04","0"
"183","4","2023-12-04","0"
"184","3","2023-12-04","0"
"185","3","2023-12-04","0"
"186","4","2023-12-04","0"
"187","3","2023-12-04","0"
"188","3","2023-12-04","0"
"189","3","2023-12-04","0"
"190","3","2023-12-04","0"
"191","3","2023-12-04","0"
"192","3","2023-12-04","0"
"193","3","2023-12-04","0"
"194","3","2023-12-04","0"
"195","3","2023-12-04","0"
"196","3","2023-12-04","0"
"197","3","2023-12-04","0"
"198","3","2023-12-04","0"
"199","4","2023-12-04","0"
"200","4","2023-12-04","0"
